rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,push_interval_min_s,push_interval_max_s,push_x_min,push_x_max,push_y_min,push_y_max,push_z_min,push_z_max,push_roll_min,push_roll_max,push_pitch_min,push_pitch_max,push_yaw_min,push_yaw_max,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,observed_push_interval_min_s,observed_push_interval_max_s,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_push_yaw_medium_random_rough_l5,-3.9624155053152337,0,random_rough,5,normal,0.027524010638706384,0.15566925349086522,0.08660760681703687,5.0,forced,99,23,76,0.23232323232323232,0.7676767676767676,0.359375,1.1875,,,,,,2.5,2.5,,,,,,,,,,,-0.8,0.8,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
2,ood_push_lateral_medium_random_rough_l5,-7.040999406617621,0,random_rough,5,normal,0.02757543009426445,0.18429682003706693,0.08968057575635612,5.0,forced,115,22,93,0.19130434782608696,0.808695652173913,0.34375,1.453125,,,,,,2.5,2.5,,,-0.8,0.8,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
3,ood_push_lateral_repeated_random_rough_l5,-7.5878981143310344,0,random_rough,5,normal,0.028614599076099693,0.14542548936605454,0.08513173070177436,5.0,forced,116,19,97,0.16379310344827586,0.8362068965517241,0.296875,1.515625,,,,,,1.25,1.25,,,-0.5,0.5,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
4,ood_push_forward_medium_random_rough_l5,-7.923406138650143,0,random_rough,5,normal,0.02768457428086549,0.19063496202602984,0.10010005955770612,5.0,forced,120,22,98,0.18333333333333332,0.8166666666666667,0.34375,1.53125,,,,,,2.5,2.5,-0.8,0.8,,,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
