rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_ultra_high_friction_random_rough_l5,-2.718840553621203,0,random_rough,5,normal,0.027365859057870694,0.1933687325157225,0.08999062652140856,5.0,forced,98,29,69,0.29591836734693877,0.7040816326530612,0.453125,1.078125,3.0,3.0,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_very_heavy_random_rough_l5,-7.441853423259418,0,random_rough,5,normal,0.02268010141409468,0.10028394834883511,0.047058385594864374,5.0,forced,122,23,99,0.1885245901639344,0.8114754098360656,0.359375,1.546875,,,6.0,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_ultra_low_friction_random_rough_l5,-66.69494011036197,0,random_rough,5,normal,0.025095837972243316,0.03191418799199164,0.021181091620703228,5.0,forced,489,14,475,0.028629856850715747,0.9713701431492843,0.21875,7.421875,0.05,0.05,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
4,ood_very_weak_motor_random_rough_l5,-238.75999946372121,0,random_rough,5,normal,0.02688974063610658,0.017110177701106295,0.004655300994112622,5.0,forced,1581,5,1576,0.0031625553447185324,0.9968374446552815,0.078125,24.625,,,,0.5,0.5,,,,,,,,,,0.5,0.5,0.5,1000,1000,1000,0
