rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_stairs_down_l5,4.037278584010351,0,pyramid_stairs_inv,5,normal,0.026194295472465455,0.13719326503574847,0.06552784734405577,5.0,forced,85,47,38,0.5529411764705883,0.4470588235294118,0.734375,0.59375,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_random_rough_l9,3.341213233553655,0,random_rough,9,normal,0.02594315996277146,0.17264813513308763,0.09705358447507023,9.0,forced,102,32,70,0.3137254901960784,0.6862745098039216,0.5,1.09375,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_boxes_l5,-5.638630813825209,0,boxes,5,normal,0.02949904735106975,0.12625627587921917,0.07853639087826013,5.0,forced,105,19,86,0.18095238095238095,0.819047619047619,0.296875,1.34375,,,,,,,,,,,,,,,0.996788501739502,0.6000929474830627,1.3992375135421753,1000,1000,1000,0
4,ood_stairs_up_l5,-21.339111071173495,0,pyramid_stairs,5,normal,0.031055012229830026,0.0794442103561014,0.05527565153688192,5.0,forced,190,7,183,0.03684210526315789,0.9631578947368421,0.109375,2.859375,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
