rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,switch_step,switch_static_friction,switch_dynamic_friction,switch_mass_offset,switch_motor_stiffness_scale,switch_motor_damping_scale,push_interval_min_s,push_interval_max_s,push_x_min,push_x_max,push_y_min,push_y_max,push_z_min,push_z_max,push_roll_min,push_roll_max,push_pitch_min,push_pitch_max,push_yaw_min,push_yaw_max,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,observed_push_interval_min_s,observed_push_interval_max_s,post_switch_observed_static_friction_mean,post_switch_observed_static_friction_min,post_switch_observed_static_friction_max,post_switch_observed_dynamic_friction_mean,post_switch_observed_dynamic_friction_min,post_switch_observed_dynamic_friction_max,post_switch_observed_mass_offset_mean,post_switch_observed_mass_offset_min,post_switch_observed_mass_offset_max,post_switch_observed_motor_stiffness_scale_mean,post_switch_observed_motor_stiffness_scale_min,post_switch_observed_motor_stiffness_scale_max,post_switch_reward_step_mean,post_switch_vel_err_step_mean,post_switch_yaw_err_step_mean,post_switch_terrain_level_step_mean,post_switch_terminal_dones,post_switch_terminal_timeouts,post_switch_terminal_base_contacts,post_switch_timeout_fraction_of_terminals,post_switch_base_contact_fraction_of_terminals,post_switch_timeout_events_per_env,post_switch_base_contact_events_per_env,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_switch_ultra_low_friction_random_rough_l5,3.7867193631269047,0,random_rough,5,normal,0.027472802018513903,0.18714070431143046,0.08424685664847494,5.0,forced,92,31,61,0.33695652173913043,0.6630434782608695,0.484375,0.953125,,,,,,300,0.05,0.05,,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.148869514465332,0.11812887340784073,1.9576157331466675,0.9672639966011047,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.027194473022328955,0.23228906699589322,0.10075310264314924,5.0,64,31,33,0.484375,0.515625,0.484375,0.515625,1000,1000,1000,0
2,ood_switch_low_friction_heavy_random_rough_l5,-3.5294669877829867,0,random_rough,5,normal,0.024474215294932947,0.13903373574279249,0.06951323918253183,5.0,forced,119,19,100,0.15966386554621848,0.8403361344537815,0.296875,1.5625,,,,,,300,0.1,0.1,4.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.148869514465332,0.11812887340784073,1.9576157331466675,0.9672639966011047,0.1075180247426033,1.973449468612671,3.999999761581421,3.999999523162842,3.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.022910777702927588,0.16356482618355325,0.07970507769180196,5.0,91,19,72,0.2087912087912088,0.7912087912087912,0.296875,1.125,1000,1000,1000,0
3,ood_switch_very_heavy_random_rough_l5,-3.7776551724296015,0,random_rough,5,normal,0.023785540343960746,0.10893452559038996,0.06195128128142096,5.0,forced,131,26,105,0.1984732824427481,0.8015267175572519,0.40625,1.640625,,,,,,300,,,6.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,5.999999523162842,5.999999523162842,5.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.021926956344395877,0.12056595453726394,0.06890228069021499,5.0,103,26,77,0.2524271844660194,0.7475728155339806,0.40625,1.203125,1000,1000,1000,0
4,ood_switch_very_weak_motor_random_rough_l5,-154.60634571261562,0,random_rough,5,normal,0.026831907260930165,0.04483570867223898,0.020472800920251756,5.0,forced,1071,6,1065,0.0056022408963585435,0.9943977591036415,0.09375,16.640625,,,,,,300,,,,0.5,0.5,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.5,0.5,0.5,0.026278909082923615,0.028996216082762528,0.00964730874568756,5.0,1043,6,1037,0.005752636625119847,0.9942473633748802,0.09375,16.203125,1000,1000,1000,0
