rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,switch_step,switch_static_friction,switch_dynamic_friction,switch_mass_offset,switch_motor_stiffness_scale,switch_motor_damping_scale,push_interval_min_s,push_interval_max_s,push_x_min,push_x_max,push_y_min,push_y_max,push_z_min,push_z_max,push_roll_min,push_roll_max,push_pitch_min,push_pitch_max,push_yaw_min,push_yaw_max,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,observed_push_interval_min_s,observed_push_interval_max_s,post_switch_observed_static_friction_mean,post_switch_observed_static_friction_min,post_switch_observed_static_friction_max,post_switch_observed_dynamic_friction_mean,post_switch_observed_dynamic_friction_min,post_switch_observed_dynamic_friction_max,post_switch_observed_mass_offset_mean,post_switch_observed_mass_offset_min,post_switch_observed_mass_offset_max,post_switch_observed_motor_stiffness_scale_mean,post_switch_observed_motor_stiffness_scale_min,post_switch_observed_motor_stiffness_scale_max,post_switch_reward_step_mean,post_switch_vel_err_step_mean,post_switch_yaw_err_step_mean,post_switch_terrain_level_step_mean,post_switch_terminal_dones,post_switch_terminal_timeouts,post_switch_terminal_base_contacts,post_switch_timeout_fraction_of_terminals,post_switch_base_contact_fraction_of_terminals,post_switch_timeout_events_per_env,post_switch_base_contact_events_per_env,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_switch_ultra_low_friction_random_rough_l5,1.2502989389011712,0,random_rough,5,normal,0.02994635188486427,0.1397416979689151,0.07102256851550191,5.0,forced,117,22,95,0.18803418803418803,0.811965811965812,0.34375,1.484375,,,,,,300,0.05,0.05,,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.148869514465332,0.11812887340784073,1.9576157331466675,0.9672639966011047,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.0298984115863485,0.1612474881272231,0.08372522512184723,5.0,68,22,46,0.3235294117647059,0.6764705882352942,0.34375,0.71875,1000,1000,1000,0
2,ood_switch_low_friction_heavy_random_rough_l5,-7.458401379814697,0,random_rough,5,normal,0.02896303105261177,0.12138442369922996,0.0647831900930032,5.0,forced,157,13,144,0.08280254777070063,0.9171974522292994,0.203125,2.25,,,,,,300,0.1,0.1,4.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.148869514465332,0.11812887340784073,1.9576157331466675,0.9672639966011047,0.1075180247426033,1.973449468612671,3.999999761581421,3.999999523162842,3.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.028493667540273496,0.13502281059910143,0.0748118273754205,5.0,108,13,95,0.12037037037037036,0.8796296296296297,0.203125,1.484375,1000,1000,1000,0
3,ood_switch_very_heavy_random_rough_l5,-11.273244027627198,0,random_rough,5,normal,0.02715893316362053,0.11262043225206435,0.06398241418693215,5.0,forced,186,17,169,0.0913978494623656,0.9086021505376344,0.265625,2.640625,,,,,,300,,,6.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,5.999999523162842,5.999999523162842,5.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.025916384841714588,0.12250282281743628,0.07366786179531898,5.0,137,17,120,0.12408759124087591,0.8759124087591241,0.265625,1.875,1000,1000,1000,0
4,ood_switch_very_weak_motor_random_rough_l5,-114.93068396386244,0,random_rough,5,normal,0.027619562772102653,0.0501969724939554,0.021684353787277358,5.0,forced,839,7,832,0.00834326579261025,0.9916567342073898,0.109375,13.0,,,,,,300,,,,0.5,0.5,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.5,0.5,0.5,0.026574427139546188,0.0333264517344235,0.013242061224383568,5.0,790,7,783,0.008860759493670886,0.9911392405063291,0.109375,12.234375,1000,1000,1000,0
