rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,push_interval_min_s,push_interval_max_s,push_x_min,push_x_max,push_y_min,push_y_max,push_z_min,push_z_max,push_roll_min,push_roll_max,push_pitch_min,push_pitch_max,push_yaw_min,push_yaw_max,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,observed_push_interval_min_s,observed_push_interval_max_s,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_push_yaw_medium_random_rough_l5,-7.565169624880596,0,random_rough,5,normal,0.028615759869106114,0.14413866864144803,0.0761205069385469,5.0,forced,121,23,98,0.19008264462809918,0.8099173553719008,0.359375,1.53125,,,,,,2.5,2.5,,,,,,,,,,,-0.8,0.8,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
2,ood_push_lateral_repeated_random_rough_l5,-11.089119695870878,0,random_rough,5,normal,0.028623146613128484,0.16405057407170534,0.08749346837215126,5.0,forced,133,16,117,0.12030075187969924,0.8796992481203008,0.25,1.828125,,,,,,1.25,1.25,,,-0.5,0.5,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
3,ood_push_lateral_medium_random_rough_l5,-13.29876176041043,0,random_rough,5,normal,0.029058676055632532,0.16351023980602622,0.09188726346381008,5.0,forced,143,13,130,0.09090909090909091,0.9090909090909091,0.203125,2.03125,,,,,,2.5,2.5,,,-0.8,0.8,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
4,ood_push_forward_medium_random_rough_l5,-15.531621594224235,0,random_rough,5,normal,0.02910981921758503,0.15932293125614524,0.09142950602807104,5.0,forced,151,8,143,0.052980132450331126,0.9470198675496688,0.125,2.234375,,,,,,2.5,2.5,-0.8,0.8,,,,,,,,,,,,,,,,,,,,1.0150177478790283,0.6010453701019287,1.3983347415924072,,,1000,1000,1000,0
