rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_ultra_high_friction_random_rough_l5,-10.198590348403297,0,random_rough,5,normal,0.029809979991987347,0.1395453453399241,0.07255763442255557,5.0,forced,136,22,114,0.16176470588235295,0.8382352941176471,0.34375,1.78125,3.0,3.0,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_very_heavy_random_rough_l5,-31.528741479099207,0,random_rough,5,normal,0.02532743499567732,0.10083653212711215,0.06279325696080923,5.0,forced,255,8,247,0.03137254901960784,0.9686274509803922,0.125,3.859375,,,6.0,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_ultra_low_friction_random_rough_l5,-47.46344430538412,0,random_rough,5,normal,0.02548832443309948,0.04751630472205579,0.03113556149532087,5.0,forced,370,18,352,0.04864864864864865,0.9513513513513514,0.28125,5.5,0.05,0.05,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
4,ood_very_weak_motor_random_rough_l5,-188.17236806602995,0,random_rough,5,normal,0.02564945384301245,0.024721502307918853,0.009388434537802822,5.0,forced,1260,8,1252,0.006349206349206349,0.9936507936507937,0.125,19.5625,,,,0.5,0.5,,,,,,,,,,0.5,0.5,0.5,1000,1000,1000,0
