rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_stairs_down_l5,7.390274565828809,0,pyramid_stairs_inv,5,normal,0.02734223597822711,0.20277891425415873,0.12227465994283557,5.0,forced,72,52,20,0.7222222222222222,0.2777777777777778,0.8125,0.3125,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_random_rough_l9,-0.07288116751396029,0,random_rough,9,normal,0.02891414089407772,0.13826599966734648,0.07490345226600766,9.0,forced,116,26,90,0.22413793103448276,0.7758620689655172,0.40625,1.40625,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_boxes_l5,-9.845878072513418,0,boxes,5,normal,0.02823626834154129,0.13416217236220837,0.07938209712691605,5.0,forced,129,18,111,0.13953488372093023,0.8604651162790697,0.28125,1.734375,,,,,,,,,,,,,,,0.996788501739502,0.6000929474830627,1.3992375135421753,1000,1000,1000,0
4,ood_stairs_up_l5,-17.833870937346962,0,pyramid_stairs,5,normal,0.031163786439690738,0.0901690423078835,0.05398349053412676,5.0,forced,171,10,161,0.05847953216374269,0.9415204678362573,0.15625,2.515625,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
