rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,switch_step,switch_static_friction,switch_dynamic_friction,switch_mass_offset,switch_motor_stiffness_scale,switch_motor_damping_scale,push_interval_min_s,push_interval_max_s,push_x_min,push_x_max,push_y_min,push_y_max,push_z_min,push_z_max,push_roll_min,push_roll_max,push_pitch_min,push_pitch_max,push_yaw_min,push_yaw_max,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,observed_push_interval_min_s,observed_push_interval_max_s,post_switch_observed_static_friction_mean,post_switch_observed_static_friction_min,post_switch_observed_static_friction_max,post_switch_observed_dynamic_friction_mean,post_switch_observed_dynamic_friction_min,post_switch_observed_dynamic_friction_max,post_switch_observed_mass_offset_mean,post_switch_observed_mass_offset_min,post_switch_observed_mass_offset_max,post_switch_observed_motor_stiffness_scale_mean,post_switch_observed_motor_stiffness_scale_min,post_switch_observed_motor_stiffness_scale_max,post_switch_reward_step_mean,post_switch_vel_err_step_mean,post_switch_yaw_err_step_mean,post_switch_terrain_level_step_mean,post_switch_terminal_dones,post_switch_terminal_timeouts,post_switch_terminal_base_contacts,post_switch_timeout_fraction_of_terminals,post_switch_base_contact_fraction_of_terminals,post_switch_timeout_events_per_env,post_switch_base_contact_events_per_env,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_switch_ultra_low_friction_random_rough_l5,0.5604461417672032,0,random_rough,5,normal,0.029841731290332973,0.1350384422224015,0.07969497984461486,5.0,forced,127,30,97,0.23622047244094488,0.7637795275590551,0.46875,1.515625,,,,,,300,0.05,0.05,,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.0911544561386108,0.11812887340784073,1.9576157331466675,0.9736499786376953,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.02925495142649327,0.1592806708120874,0.09450442590617708,5.0,82,30,52,0.36585365853658536,0.6341463414634146,0.46875,0.8125,1000,1000,1000,0
2,ood_switch_low_friction_heavy_random_rough_l5,-10.33297931108025,0,random_rough,5,normal,0.029007857806049288,0.1205159368030727,0.07553388864640147,5.0,forced,173,15,158,0.08670520231213873,0.9132947976878613,0.234375,2.46875,,,,,,300,0.1,0.1,4.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.0911544561386108,0.11812887340784073,1.9576157331466675,0.9736499786376953,0.1075180247426033,1.973449468612671,3.999999761581421,3.999999523162842,3.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.02806370359180229,0.13853423449876054,0.08856000990872936,5.0,128,15,113,0.1171875,0.8828125,0.234375,1.765625,1000,1000,1000,0
3,ood_switch_very_heavy_random_rough_l5,-16.911185940741237,0,random_rough,5,normal,0.026803090003319086,0.10115790947992355,0.05971388556389138,5.0,forced,214,14,200,0.06542056074766354,0.9345794392523364,0.21875,3.125,,,,,,300,,,6.0,,,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,5.999999523162842,5.999999523162842,5.999999523162842,0.9865598678588867,0.6006205677986145,1.3996775150299072,0.024914035302187717,0.1108799097514046,0.06596000550514353,5.0,169,14,155,0.08284023668639054,0.9171597633136095,0.21875,2.421875,1000,1000,1000,0
4,ood_switch_very_weak_motor_random_rough_l5,-179.11016677857424,0,random_rough,5,normal,0.02748350887093693,0.040318272860778964,0.018921664709225298,5.0,forced,1245,6,1239,0.004819277108433735,0.9951807228915662,0.09375,19.359375,,,,,,300,,,,0.5,0.5,,,,,,,,,,,,,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.9865598678588867,0.6006205677986145,1.3996775150299072,,,1.1001290082931519,0.11812887340784073,1.9576157331466675,0.9616733193397522,0.1075180247426033,1.973449468612671,1.007456660270691,-1.9473166465759277,3.914895534515381,0.5,0.5,0.5,0.025886062255927496,0.02396614315262663,0.007685404284191983,5.0,1200,6,1194,0.005,0.995,0.09375,18.65625,1000,1000,1000,0
