rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_ultra_high_friction_random_rough_l5,-8.032294641603714,0,random_rough,5,normal,0.02883224527630955,0.1418872474245727,0.09497859525680542,5.0,forced,120,20,100,0.16666666666666666,0.8333333333333334,0.3125,1.5625,3.0,3.0,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_very_heavy_random_rough_l5,-28.97045855794529,0,random_rough,5,normal,0.025873790241777897,0.08498064975813031,0.055518664889968934,5.0,forced,244,12,232,0.04918032786885246,0.9508196721311475,0.1875,3.625,,,6.0,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_ultra_low_friction_random_rough_l5,-64.84169039057893,0,random_rough,5,normal,0.026313453912036492,0.03700187686295248,0.028769339977181518,5.0,forced,478,15,463,0.03138075313807531,0.9686192468619247,0.234375,7.234375,0.05,0.05,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
4,ood_very_weak_motor_random_rough_l5,-275.17535336644806,0,random_rough,5,normal,0.024901368738152088,0.017917315267492087,0.004092194534256123,5.0,forced,1815,6,1809,0.003305785123966942,0.996694214876033,0.09375,28.265625,,,,0.5,0.5,,,,,,,,,,0.5,0.5,0.5,1000,1000,1000,0
