rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,ood_stairs_down_l5,9.06880434993335,0,pyramid_stairs_inv,5,normal,0.026959956094622612,0.08955635614693165,0.06887254002690316,5.0,forced,70,54,16,0.7714285714285715,0.22857142857142856,0.84375,0.25,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
2,ood_random_rough_l9,0.3409629288897842,0,random_rough,9,normal,0.029770938865374772,0.16744541923701764,0.09995158152282238,9.0,forced,116,29,87,0.25,0.75,0.453125,1.359375,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
3,ood_boxes_l5,-7.37182642207891,0,boxes,5,normal,0.02902590367384255,0.1322716953754425,0.07884510555118322,5.0,forced,119,22,97,0.18487394957983194,0.8151260504201681,0.34375,1.515625,,,,,,,,,,,,,,,0.996788501739502,0.6000929474830627,1.3992375135421753,1000,1000,1000,0
4,ood_stairs_up_l5,-18.605055598415017,0,pyramid_stairs,5,normal,0.03226535683311522,0.07571648244000971,0.057276562159880993,5.0,forced,174,8,166,0.04597701149425287,0.9540229885057471,0.125,2.59375,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
